Statistical profiling result from isolate-0x3963e20-2320-v8.log, (293642 ticks, 59797 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     41    0.0%    0.0%  void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
     41    0.0%    0.0%  v8::HandleScope::HandleScope(v8::Isolate*)
     40    0.0%    0.0%  v8::internal::Builtin_TypedArrayPrototypeBuffer(int, unsigned long*, v8::internal::Isolate*)
     40    0.0%    0.0%  v8::TypedArray::Length()
     39    0.0%    0.0%  v8::ArrayBuffer::New(v8::Isolate*, void*, unsigned long, v8::ArrayBufferCreationMode)
     39    0.0%    0.0%  node::Buffer::Copy(v8::Isolate*, char const*, unsigned long)
     38    0.0%    0.0%  node::Buffer::New(node::Environment*, char*, unsigned long, bool)
     37    0.0%    0.0%  v8::internal::libc_memmove(void*, void const*, unsigned long)
     37    0.0%    0.0%  v8::EscapableHandleScope::Escape(unsigned long*)
     36    0.0%    0.0%  v8::internal::HandleScope::~HandleScope()
     36    0.0%    0.0%  v8::String::WriteUtf8(v8::Isolate*, char*, int, int*, int) const
     35    0.0%    0.0%  v8::Object::SetPrivate(v8::Local<v8::Context>, v8::Local<v8::Private>, v8::Local<v8::Value>)
     35    0.0%    0.0%  node::Buffer::HasInstance(v8::Local<v8::Value>)
     35    0.0%    0.0%  __clock_gettime
     34    0.0%    0.0%  std::vector<v8::Global<v8::Object>, std::allocator<v8::Global<v8::Object> > >::_M_default_append(unsigned long)
     34    0.0%    0.0%  node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     34    0.0%    0.0%  node::Environment::GetNow()
     31    0.0%    0.0%  v8::Value::IsArrayBufferView() const
     31    0.0%    0.0%  node::Environment::RunWeakRefCleanup()
     30    0.0%    0.0%  v8::TryCatch::TryCatch(v8::Isolate*)
     29    0.0%    0.0%  v8::Value::IntegerValue(v8::Local<v8::Context>) const
     29    0.0%    0.0%  __libc_recvmsg
     28    0.0%    0.0%  v8::Value::IsExternal() const
     28    0.0%    0.0%  node::crypto::SSLWrap<node::TLSWrap>::GetPeerCertificate(v8::FunctionCallbackInfo<v8::Value> const&)
     27    0.0%    0.0%  v8::Object::New(v8::Isolate*)
     27    0.0%    0.0%  node::Utf8Value::Utf8Value(v8::Isolate*, v8::Local<v8::Value>)
     27    0.0%    0.0%  node::Environment::RunAndClearNativeImmediates(bool)
     27    0.0%    0.0%  node::Buffer::(anonymous namespace)::Compare(v8::FunctionCallbackInfo<v8::Value> const&)
     26    0.0%    0.0%  v8::TryCatch::SetVerbose(bool)
     26    0.0%    0.0%  v8::Isolate::SuppressMicrotaskExecutionScope::SuppressMicrotaskExecutionScope(v8::Isolate*)
